BioProject	SRA_Study	Run	Experiment	BioSample	SRA_Sample	Assay_Type	Platform	Instrument	LibraryLayout	Library_Name	Sample_Name	Organism	isolate
PRJNA607948	SRP250294	SRR11140744	SRX7777166	SAMN14154205	SRS6189924	WGS	ILLUMINA	Illumina MiSeq	PAIRED	veroSTAT-1KO_illumina	veroSTAT-1KO_illumina	Severe acute respiratory syndrome coronavirus 2	2019-nCoV/USA-WI1/2020 Illumina replicate - Vero STAT-1 KO
PRJNA607948	SRP250294	SRR11140746	SRX7777164	SAMN14154203	SRS6189919	WGS	ILLUMINA	Illumina MiSeq	PAIRED	veroE6_illumina	veroE6_illumina	Severe acute respiratory syndrome coronavirus 2	2019-nCoV/USA-WI1/2020 Illumina replicate - Vero E6
PRJNA607948	SRP250294	SRR11140748	SRX7777162	SAMN14154201	SRS6189918	WGS	ILLUMINA	Illumina MiSeq	PAIRED	vero76_illumina	vero76_illumina	Severe acute respiratory syndrome coronavirus 2	2019-nCoV/USA-WI1/2020 Illumina replicate - Vero 76
PRJNA607948	SRP250294	SRR11140750	SRX7777160	SAMN14154199	SRS6189914	WGS	ILLUMINA	Illumina MiSeq	PAIRED	swab_illumina	swab_illumina	Severe acute respiratory syndrome coronavirus 2	2019-nCoV/USA-WI1/2020 Illumina replicate - Swab
PRJNA616147	SRP254488	SRR11514749	SRX8086361	SAMN14483190	SRS6395996	AMPLICON	ILLUMINA	Illumina iSeq 100	PAIRED	S2	EPI_ISL_417918	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2/188407/human/2020/Malaysia
PRJNA616147	SRP254488	SRR11514750	SRX8086360	SAMN14483189	SRS6395995	AMPLICON	ILLUMINA	Illumina iSeq 100	PAIRED	LK1	EPI_ISL_417917	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2/189332/human/2020/Malaysia
PRJNA616147	SRP254488	SRR11542243	SRX8112342	SAMN14596409	SRS6477428	AMPLICON	ILLUMINA	Illumina iSeq 100	PAIRED	I4	EPI_ISL_417920	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2/190300/human/2020/Malaysia
PRJNA616147	SRP254488	SRR11542244	SRX8112341	SAMN14596408	SRS6477427	AMPLICON	ILLUMINA	Illumina iSeq 100	PAIRED	I3	EPI_ISL_417919	Severe acute respiratory syndrome coronavirus 2	SARS-CoV-2/186197/human/2020/Malaysia
PRJNA622817	SRP255151	SRR11476445	SRX8052698	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2847	P200013	Severe acute respiratory syndrome coronavirus 2	A12
PRJNA622817	SRP255151	SRR11476446	SRX8052697	SAMN14530228	SRS6422657	AMPLICON	ILLUMINA	Illumina MiSeq	PAIRED	SEQ2846	P200013	Severe acute respiratory syndrome coronavirus 2	A12
